,time,hp2.Pelec,lcodh.cost,heat_demand,hp2.COP,hp2.Q,storage.S,controller_APL.Pmin,controller_APL.Pmax,P_order,pth_switch
0,0.0,45.0,-22.816323069034965,1.955,6.8992952256602855,6.451210847805971,1200.0,22.5,22.5,45.0,0.0
1,900.0,45.0,-13.690874766285855,1.955,4.139903989979049,3.906721000012509,1217.565489000208,39.14483699996246,39.14483699996246,45.0,0.0
2,1800.0,45.0,-13.690874766285855,1.955,4.139903989979049,3.906721000012509,1235.1309780004158,39.14483699996246,39.14483699996246,45.0,0.0
3,2700.0,45.0,-13.690874766285855,1.955,4.139903989979049,3.906721000012509,1252.6964670006237,39.14483699996246,39.14483699996246,45.0,0.0
4,3600.0,45.0,-13.71936662197997,1.9525,4.148519476504457,3.921589339241395,1270.2619560008316,39.14483699996246,39.14483699996246,45.0,0.0
5,4500.0,45.0,-13.71936662197997,1.9525,4.148519476504457,3.921589339241395,1287.9837600539986,39.09273198227583,39.09273198227583,45.0,0.0
6,5400.0,45.0,-13.71936662197997,1.9525,4.148519476504457,3.921589339241395,1305.7055641071656,39.09273198227583,39.09273198227583,45.0,0.0
7,6300.0,45.0,-13.71936662197997,1.9525,4.148519476504457,3.921589339241395,1323.4273681603327,39.09273198227583,39.09273198227583,45.0,0.0
8,7200.0,45.0,-13.834270802085205,1.9425,4.1832646832062474,3.98184768529083,1341.1491722134997,39.09273198227583,39.09273198227583,45.0,0.0
9,8100.0,45.0,-13.834270802085205,1.9425,4.1832646832062474,3.98184768529083,1359.5033013810735,38.88195694412752,38.88195694412752,45.0,0.0
10,9000.0,45.0,-13.834270802085205,1.9425,4.1832646832062474,3.98184768529083,1377.8574305486472,38.88195694412752,38.88195694412752,45.0,0.0
11,9900.0,45.0,-13.834270802085205,1.9425,4.1832646832062474,3.98184768529083,1396.211559716221,38.88195694412752,38.88195694412752,45.0,0.0
12,10800.0,45.0,-13.980043831852932,1.93,4.22734414181417,4.058977912624744,1414.5656888837948,38.88195694412752,38.88195694412752,45.0,0.0
13,11700.0,45.0,-13.980043831852932,1.93,4.22734414181417,4.058977912624744,1433.7264900973423,38.613066262125784,38.613066262125784,45.0,0.0
14,12600.0,45.0,-13.980043831852932,1.93,4.22734414181417,4.058977912624744,1452.8872913108899,38.613066262125784,38.613066262125784,45.0,0.0
15,13500.0,45.0,-13.980043831852932,1.93,4.22734414181417,4.058977912624744,1472.0480925244374,38.613066262125784,38.613066262125784,45.0,0.0
16,14400.0,45.0,-14.068673940360538,1.9225,4.254144484824133,4.1062471154150995,1491.208893737985,38.613066262125784,38.613066262125784,45.0,0.0
17,15300.0,45.0,-14.068673940360538,1.9225,4.254144484824133,4.1062471154150995,1510.862617776752,38.448758653754716,38.448758653754716,45.0,0.0
18,16200.0,45.0,-14.068673940360538,1.9225,4.254144484824133,4.1062471154150995,1530.516341815519,38.448758653754716,38.448758653754716,45.0,0.0
19,17100.0,45.0,-14.068673940360538,1.9225,4.254144484824133,4.1062471154150995,1550.170065854286,38.448758653754716,38.448758653754716,45.0,0.0
20,18000.0,45.0,-14.2789702499725,1.905,4.3177347627356895,4.219536587316872,1569.823789893053,38.448758653754716,38.448758653754716,45.0,0.0
21,18900.0,45.0,-14.2789702499725,1.905,4.3177347627356895,4.219536587316872,1590.654619178963,38.056390238049396,38.056390238049396,45.0,0.0
22,19800.0,45.0,-14.2789702499725,1.905,4.3177347627356895,4.219536587316872,1611.4854484648731,38.056390238049396,38.056390238049396,45.0,0.0
23,20700.0,45.0,-14.2789702499725,1.905,4.3177347627356895,4.219536587316872,1632.3162777507832,38.056390238049396,38.056390238049396,45.0,0.0
24,21600.0,45.0,-14.339972817766288,1.9,4.3361809743999995,4.25269743163348,1653.1471070366933,38.056390238049396,38.056390238049396,45.0,0.0
25,22500.0,45.0,-14.339972817766288,1.9,4.3361809743999995,4.25269743163348,1674.3213839214377,37.941907705099574,37.941907705099574,45.0,0.0
26,23400.0,45.0,-14.339972817766288,1.9,4.3361809743999995,4.25269743163348,1695.495660806182,37.941907705099574,37.941907705099574,45.0,0.0
27,24300.0,45.0,-14.339972817766288,1.9,4.3361809743999995,4.25269743163348,1716.6699376909264,37.941907705099574,37.941907705099574,45.0,0.0
28,25200.0,45.0,-13.863233344933406,1.94,4.192022498082508,3.99711122892357,1737.8442145756708,37.941907705099574,37.941907705099574,45.0,0.0
29,26100.0,45.0,-13.863233344933406,1.94,4.192022498082508,3.99711122892357,1756.3582156359416,38.82866631322928,38.82866631322928,45.0,0.0
30,27000.0,45.0,-13.863233344933406,1.94,4.192022498082508,3.99711122892357,1774.8722166962125,38.82866631322928,38.82866631322928,45.0,0.0
31,27900.0,45.0,-13.863233344933406,1.94,4.192022498082508,3.99711122892357,1793.3862177564833,38.82866631322928,38.82866631322928,45.0,0.0
32,28800.0,45.0,-13.690874766285855,1.955,4.139903989979049,3.906721000012509,1811.9002188167542,38.82866631322928,38.82866631322928,45.0,0.0
33,29700.0,45.0,-13.690874766285855,1.955,4.139903989979049,3.906721000012509,1829.465707816962,39.14483699996246,39.14483699996246,45.0,0.0
34,30600.0,45.0,-13.690874766285855,1.955,4.139903989979049,3.906721000012509,1847.03119681717,39.14483699996246,39.14483699996246,45.0,0.0
35,31500.0,45.0,-13.690874766285855,1.955,4.139903989979049,3.906721000012509,1864.5966858173779,39.14483699996246,39.14483699996246,45.0,0.0
36,32400.0,45.0,-13.662475684570904,1.9575,4.131316556837597,3.89193009494195,1882.1621748175858,39.14483699996246,39.14483699996246,45.0,0.0
