,time,Bus 0.vm_pu,Bus 1.vm_pu,Bus 2.vm_pu,WF.p_mw,PV.p_mw,Electrical.p_mw,Power2Heat.p_mw,Power2Gas.p_mw,grid.p_mw,grid.q_mvar,Electrical.q_mvar,Power2Gas.max_p_mw,Power2Gas.min_p_mw,Power2Heat.max_p_mw,Power2Heat.min_p_mw,WF.max_p_mw,PV.max_p_mw
0,0.0,1.0,1.016556710527448,0.989202027201935,89.0,0.0,0.0,45.0,50.0,30.0,0.0,0.0,23.0,23.0,22.5,22.5,100.0,100.0
1,900.0,1.0,1.016510606282491,0.9890574354501016,88.750949,0.0,0.0,45.0,50.0,30.0,0.0,0.0,13.125342265788102,13.125342265788102,39.14483699996246,39.14483699996246,100.0,100.0
2,1800.0,1.0,1.016510606282491,0.9890574354501016,88.750949,0.0,0.0,45.0,50.0,30.0,0.0,0.0,12.404226159007933,12.404226159007933,39.14483699996246,39.14483699996246,100.0,100.0
3,2700.0,1.0,1.016510606282491,0.9890574354501016,88.750949,0.0,0.0,45.0,50.0,30.0,0.0,0.0,11.900975080578478,11.900975080578478,39.14483699996246,39.14483699996246,100.0,100.0
4,3600.0,1.0,1.016510606282491,0.9890574354501016,88.750949,0.0,0.0,45.0,50.0,30.0,0.0,0.0,11.53482867996581,11.53482867996581,39.14483699996246,39.14483699996246,100.0,100.0
5,4500.0,1.0,1.0167938413637754,0.9899500099890538,90.293251,0.0,0.0,45.0,50.0,30.0,0.0,0.0,11.228239976861893,11.228239976861893,39.09273198227583,39.09273198227583,100.0,100.0
6,5400.0,1.0,1.0167938413637754,0.9899500099890538,90.293251,0.0,0.0,45.0,50.0,30.0,0.0,0.0,11.018420541646769,11.018420541646769,39.09273198227583,39.09273198227583,100.0,100.0
7,6300.0,1.0,1.0167938413637754,0.9899500099890538,90.293251,0.0,0.0,45.0,50.0,30.0,0.0,0.0,10.85559441538257,10.85559441538257,39.09273198227583,39.09273198227583,100.0,100.0
8,7200.0,1.0,1.0167938413637754,0.9899500099890538,90.293251,0.0,0.0,45.0,50.0,30.0,0.0,0.0,10.727783238553755,10.727783238553755,39.09273198227583,39.09273198227583,100.0,100.0
9,8100.0,1.0,1.017207650001736,0.9912732557630345,92.601445,0.0,0.0,45.0,50.0,30.0,0.0,0.0,10.496977087719582,10.496977087719582,38.88195694412752,38.88195694412752,100.0,100.0
10,9000.0,1.0,1.017207650001736,0.9912732557630345,92.601445,0.0,0.0,45.0,50.0,30.0,0.0,0.0,10.415295026861981,10.415295026861981,38.88195694412752,38.88195694412752,100.0,100.0
11,9900.0,1.0,1.017207650001736,0.9912732557630345,92.601445,0.0,0.0,45.0,50.0,30.0,0.0,0.0,10.349834792011613,10.349834792011613,38.88195694412752,38.88195694412752,100.0,100.0
12,10800.0,1.0,1.017207650001736,0.9912732557630345,92.601445,0.0,0.0,45.0,50.0,30.0,0.0,0.0,10.297151193542932,10.297151193542932,38.88195694412752,38.88195694412752,100.0,100.0
13,11700.0,1.0,1.0176152520247361,0.9926005137074967,94.943193,0.0,0.0,45.0,50.0,30.0,0.0,0.0,10.092666187919393,10.092666187919393,38.613066262125784,38.613066262125784,100.0,100.0
14,12600.0,1.0,1.0176152520247361,0.9926005137074967,94.943193,0.0,0.0,45.0,50.0,30.0,0.0,0.0,10.056997129716361,10.056997129716361,38.613066262125784,38.613066262125784,100.0,100.0
15,13500.0,1.0,1.0176152520247361,0.9926005137074967,94.943193,0.0,0.0,45.0,50.0,30.0,0.0,0.0,10.028056217264147,10.028056217264147,38.613066262125784,38.613066262125784,100.0,100.0
16,14400.0,1.0,1.0176152520247361,0.9926005137074967,94.943193,0.0,0.0,45.0,50.0,30.0,0.0,0.0,10.004531721461644,10.004531721461644,38.613066262125784,38.613066262125784,100.0,100.0
17,15300.0,1.0,1.0180761965319036,0.9941324982394056,97.679965,0.0,0.0,45.0,50.0,30.0,0.0,0.0,9.888249211367855,9.888249211367855,38.448758653754716,38.448758653754716,100.0,100.0
18,16200.0,1.0,1.0180761965319036,0.9941324982394056,97.679965,0.0,0.0,45.0,50.0,30.0,0.0,0.0,9.871917068188132,9.871917068188132,38.448758653754716,38.448758653754716,100.0,100.0
19,17100.0,1.0,1.0180761965319036,0.9941324982394056,97.679965,0.0,0.0,45.0,50.0,30.0,0.0,0.0,9.858594633942362,9.858594633942362,38.448758653754716,38.448758653754716,100.0,100.0
20,18000.0,1.0,1.0180761965319036,0.9941324982394056,97.679965,0.0,0.0,45.0,50.0,30.0,0.0,0.0,9.847718353787446,9.847718353787446,38.448758653754716,38.448758653754716,100.0,100.0
21,18900.0,1.0,1.0182682452040102,0.9947812390025444,98.850022,0.0,0.0,45.0,50.0,30.0,0.0,0.0,9.612178974986891,9.612178974986891,38.056390238049396,38.056390238049396,100.0,100.0
22,19800.0,1.0,1.0182682452040102,0.9947812390025444,98.850022,0.0,0.0,45.0,50.0,30.0,0.0,0.0,9.603233063672144,9.603233063672144,38.056390238049396,38.056390238049396,100.0,100.0
23,20700.0,1.0,1.0182682452040102,0.9947812390025444,98.850022,0.0,0.0,45.0,50.0,30.0,0.0,0.0,9.595919140306819,9.595919140306819,38.056390238049396,38.056390238049396,100.0,100.0
24,21600.0,1.0,1.0182682452040102,0.9947812390025444,98.850022,0.0,0.0,45.0,50.0,30.0,0.0,0.0,9.589936810608334,9.589936810608334,38.056390238049396,38.056390238049396,100.0,100.0
25,22500.0,1.0,1.018309024216834,0.9949198218150836,99.100837,0.0,0.0,45.0,50.0,30.0,0.0,0.0,9.520289068713307,9.520289068713307,37.941907705099574,37.941907705099574,100.0,100.0
26,23400.0,1.0,1.018309024216834,0.9949198218150836,99.100837,0.0,0.0,45.0,50.0,30.0,0.0,0.0,9.51580310213678,9.51580310213678,37.941907705099574,37.941907705099574,100.0,100.0
27,24300.0,1.0,1.018309024216834,0.9949198218150836,99.100837,0.0,0.0,45.0,50.0,30.0,0.0,0.0,9.512130751919994,9.512130751919994,37.941907705099574,37.941907705099574,100.0,100.0
28,25200.0,1.0,1.018309024216834,0.9949198218150836,99.100837,0.0,0.0,45.0,50.0,30.0,0.0,0.0,9.50912378129823,9.50912378129823,37.941907705099574,37.941907705099574,100.0,100.0
29,26100.0,1.0,1.0183545830484082,0.9950749997498,99.382052,0.0,0.0,45.0,50.0,30.0,0.0,0.0,10.024673832268899,10.024673832268899,38.82866631322928,38.82866631322928,100.0,100.0
30,27000.0,1.0,1.0183545830484082,0.9950749997498,99.382052,0.0,0.0,45.0,50.0,30.0,0.0,0.0,10.02649245747816,10.02649245747816,38.82866631322928,38.82866631322928,100.0,100.0
31,27900.0,1.0,1.0183545830484082,0.9950749997498,99.382052,0.0,0.0,45.0,50.0,30.0,0.0,0.0,10.027982963270668,10.027982963270668,38.82866631322928,38.82866631322928,100.0,100.0
32,28800.0,1.0,1.0183545830484082,0.9950749997498,99.382052,0.0,0.0,45.0,50.0,30.0,0.0,0.0,10.029204439046424,10.029204439046424,38.82866631322928,38.82866631322928,100.0,100.0
33,29700.0,1.0,1.018378486858147,0.9951565680920146,99.238043,0.291983,0.0,45.0,50.0,30.0,0.0,0.0,10.224462867533209,10.224462867533209,39.14483699996246,39.14483699996246,100.0,100.0
34,30600.0,1.0,1.018378486858147,0.9951565680920146,99.238043,0.291983,0.0,45.0,50.0,30.0,0.0,0.0,10.226724340542642,10.226724340542642,39.14483699996246,39.14483699996246,100.0,100.0
35,31500.0,1.0,1.018378486858147,0.9951565680920146,99.238043,0.291983,0.0,45.0,50.0,30.0,0.0,0.0,10.22857761783521,10.22857761783521,39.14483699996246,39.14483699996246,100.0,100.0
36,32400.0,1.0,1.018378486858147,0.9951565680920146,99.238043,0.291983,0.0,45.0,50.0,30.0,0.0,0.0,10.230096207837509,10.230096207837509,39.14483699996246,39.14483699996246,100.0,100.0
37,33300.0,1.0,1.0192392666883685,0.9981676393161181,99.349675,5.718923,0.0,45.0,50.0,30.0,0.0,0.0,10.26372610082713,10.26372610082713,39.19670971517414,39.19670971517414,100.0,100.0
