,time,Flexibledemand
0,0.0,-23.250948999969467
1,900.0,-32.380132818889486
2,1800.0,-23.43260868118442
3,2700.0,-19.818220064271344
4,3600.0,-24.762722164416843
5,4500.0,-26.572641000747005
6,5400.0,-24.89550608642763
7,6300.0,-24.387651113453373
8,7200.0,-27.127181200021013
9,8100.0,-27.76163915085307
10,9000.0,-27.408752719049275
11,9900.0,-27.418229210552354
12,10800.0,-29.76628847526314
13,11700.0,-30.27138535805011
14,12600.0,-30.172041465706428
15,13500.0,-30.283152394281203
16,14400.0,-32.98711876582284
17,15300.0,-33.35940271854257
18,16200.0,-33.32102827784297
19,17100.0,-33.440963713497624
20,18000.0,-34.58779688608047
21,18900.0,-35.1754058804858
22,19800.0,-35.15843407461449
23,20700.0,-35.30377218117971
24,21600.0,-35.540320731167114
25,22500.0,-35.88112640901919
26,23400.0,-35.87288847274013
27,24300.0,-36.00080931180405
28,25200.0,-36.274404857681986
29,26100.0,-35.4266579492225
30,27000.0,-35.41963505467061
31,27900.0,-35.36428963306781
32,28800.0,-35.51229671748841
33,29700.0,-34.88076510508189
34,30600.0,-34.87587264222546
35,31500.0,-34.7190373128266
36,32400.0,-40.2585113620443
37,33300.0,-39.95832465433324
38,34200.0,-39.95598437267725
39,35100.0,-39.819210712248264
40,36000.0,-49.44455952048217
41,36900.0,0.04413608008611902
42,37800.0,0.044133432546431095
43,38700.0,0.04413600312048516
44,39600.0,-23.101066745797738
45,40500.0,-23.101066812590275
46,41400.0,-23.101066712244773
47,42300.0,-23.10106663491925
48,43200.0,-48.687921300901365
49,44100.0,-48.687921208289254
50,45000.0,-48.687921166699624
51,45900.0,-48.68792113368221
52,46800.0,-47.32528207001755
53,47700.0,-47.32528196764832
54,48600.0,-47.32528195021064
55,49500.0,-47.32528193610432
56,50400.0,-37.92268062392236
57,51300.0,-37.922680616363635
58,52200.0,-37.9226806102171
59,53100.0,-37.922680605211696
60,54000.0,-16.509835234018183
61,54900.0,-16.50983523598714
62,55800.0,-16.509835233214417
63,56700.0,-16.509835230946862
64,57600.0,0.04413687269413913
65,58500.0,-36.02575269210428
66,59400.0,-31.195508607696908
67,60300.0,-23.474392566548175
68,61200.0,-16.87756949373278
69,62100.0,-26.570342959248052
70,63000.0,-25.44417284040574
71,63900.0,-25.57190331562245
72,64800.0,-25.31800142213943
73,65700.0,-28.352975108569282
74,66600.0,-28.11092688320018
75,67500.0,-29.085012806765874
76,68400.0,-28.3169291002433
77,69300.0,-29.5020063138807
78,70200.0,-29.44335770119247
79,71100.0,-30.131529850323446
80,72000.0,-28.931090712009734
81,72900.0,-29.38763929847005
82,73800.0,-29.368047733566968
83,74700.0,-29.748597561097938
84,75600.0,-26.232129828165483
85,76500.0,-26.370882390096256
86,77400.0,-26.362056606327187
87,78300.0,-26.54598582935664
88,79200.0,-22.750873199079294
89,80100.0,-22.792779724905856
90,81000.0,-22.78832058925579
91,81900.0,-22.869410046990936
92,82800.0,-20.41757773218542
93,83700.0,-20.395929230510802
94,84600.0,-20.393567087172386
95,85500.0,-20.422349889125712
96,86400.0,40.097023141567874
