,time,ptg_load,pth_load,excess_RE
0,0.0,23.000000000015266,22.50000000001527,23.295054184750658
1,900.0,14.235658276017674,22.135157905092846,32.424237003434676
2,1800.0,22.81342181880776,22.50491850000782,23.47671383396033
3,2700.0,26.697630112382484,22.235098823346178,19.86232601870495
4,3600.0,23.02197284939658,22.508555986186575,24.80682710090482
5,4500.0,21.44113960939871,22.279470389854282,26.61674569290946
6,5400.0,22.916309807180138,22.481435106392226,24.939611003218914
7,6300.0,23.593358400996703,22.31224148554992,24.431756107487246
8,7200.0,23.012859109842726,22.461404690136266,27.171285827005317
9,8100.0,22.622994171107027,22.216811678039907,27.805743708323575
10,9000.0,22.866313742385362,22.326378538565354,27.452857314544417
11,9900.0,23.036501455041684,22.146714334405956,27.462333805002718
12,10800.0,22.949708566469788,22.227195958267075,29.810392844611204
13,11700.0,22.72796159556552,21.943846046384376,30.315489686777248
14,12600.0,22.76860207295641,22.00254946133718,30.2161458022247
15,13500.0,22.86416698733923,21.79587361837957,30.327256722092137
16,14400.0,22.85415425849058,21.838691975686565,33.031222915740194
17,15300.0,22.72380487462324,21.596757406834183,33.403506848613134
18,16200.0,22.731082475094443,21.627854247062583,33.36513240991369
19,17100.0,22.786852066594204,21.452149219908172,33.48506783935871
20,18000.0,22.787491807815346,21.474733306104174,34.63190095776997
21,18900.0,22.54200880025538,21.132607319258813,35.21950992783667
22,19800.0,22.542749478463715,21.14883844692179,35.20253812263495
23,20700.0,22.643296484146106,20.902953334674176,35.3478762235099
24,21600.0,22.64589766229756,20.91461860653532,35.584424764526524
25,22500.0,22.543019653618614,20.676690937362192,35.925230430041395
26,23400.0,22.54289957614876,20.68504895111111,35.91699249405334
27,24300.0,22.585450780417485,20.51457690777847,36.04491332866093
28,25200.0,22.587081827697546,20.52056531462047,36.31850886525916
29,26100.0,23.08742019062932,20.86797386014818,35.47076198677306
30,27000.0,23.090050433554655,20.872366511774743,35.46373909248411
31,27900.0,22.890562682853258,21.12719968407893,35.4083936729927
32,28800.0,22.887307474615525,21.130421807896077,35.55640075180666
33,29700.0,23.159599522639574,21.489661372278533,34.92486916428182
34,30600.0,23.162109057597604,21.49204430017694,34.91997670162533
35,31500.0,23.0532680726279,21.75772061454551,34.763141378807035
36,32400.0,23.05060372447585,21.759482913479854,40.30261528131013
37,33300.0,23.12535457491089,21.984918770755883,40.002428577528484
38,34200.0,23.126389807249794,21.98622382007297,40.00008829590372
39,35100.0,23.09621965023018,22.15316763752156,39.863314637401686
40,36000.0,23.09509040339325,22.15413407612457,49.48866348789321
41,36900.0,49.99955747508515,44.738362605000965,7.98074983711925e-06
42,37800.0,44.73811227185101,49.99980516069542,1.1077559977915182e-05
43,38700.0,44.73806573543769,49.99985426768279,3.312241365620546e-06
44,39600.0,49.999988954392755,49.9999892998095,23.14517038282116
45,40500.0,49.99998889992497,49.99998928748475,23.145170410836762
46,41400.0,49.999988995730504,49.99998929202472,23.145170324690785
47,42300.0,49.99998906739887,49.99998929768188,23.145170265053885
48,43200.0,49.99998972351828,49.999989975580334,48.73202680002624
49,44100.0,49.99998978786233,49.99999000384839,48.73202679628357
50,45000.0,49.999989822417035,49.99999001088333,48.73202677682826
51,45900.0,49.99998984969176,49.99999001662602,48.73202676187944
52,46800.0,49.99998982276223,49.999990107220235,47.36938756210075
53,47700.0,49.999989881432995,49.99999015091869,47.369387598967315
54,48600.0,49.99998989569929,49.99999015409009,47.36938759164273
55,49500.0,49.9999899072115,49.9999901566842,47.369387585809584
56,50400.0,49.999989562662876,49.999989813414764,37.96678517748438
57,51300.0,49.99998956944316,49.99998981419322,37.966785172413246
58,52200.0,49.99998957495084,49.99998981483208,37.96678516830557
59,53100.0,49.999989579432146,49.99998981535617,37.966785164973864
60,54000.0,49.99998932015095,49.99998944583087,16.553938969089227
61,54900.0,49.99998932040293,49.999989443609934,16.553938964165138
62,55800.0,49.99998932279775,49.999989443987836,16.553938962587065
63,56700.0,49.99998932475507,49.99998944429807,16.553938961299657
64,57600.0,38.27460756280746,49.97693330988668,1.0975671336806109e-05
65,58500.0,9.921585382639854,42.26006592525587,36.06985670806541
66,59400.0,14.768646645437006,42.24324874686608,31.23961286863392
67,60300.0,28.118457119959235,36.61455431349258,23.51849771209871
68,61200.0,25.716060667456695,36.602287838810525,16.92167639735434
69,62100.0,19.858530355988865,32.76704468476309,26.614447651754872
70,63000.0,20.993723150389012,32.758022009205256,25.488277678885378
71,63900.0,23.687027696309066,29.93698698806849,25.616008136546434
72,64800.0,23.258915270365062,29.930350307495512,25.36210627814229
73,65700.0,22.223839320727944,27.930452570702776,28.397079605827663
74,66600.0,22.470782524695853,27.925557592103974,28.155031404616093
75,67500.0,22.971749756648872,26.450504436585245,29.129117235070428
76,68400.0,22.921650824589275,26.44689407516743,28.36103360103517
77,69300.0,22.79066433058945,25.392803355529853,29.54611070552689
78,70200.0,22.851979414372366,25.39013688443516,29.487462097878026
79,71100.0,22.942317256297315,24.611626893379235,30.17563419005833
80,72000.0,22.94887874539793,24.609657542592338,28.975195154281092
81,72900.0,23.003642900923143,24.098344800606807,29.43174369996436
82,73800.0,23.02469284490678,24.096886421526243,29.41215213676153
83,74700.0,23.022789529463935,23.718239909438125,29.792701931912347
84,75600.0,23.03161324751505,23.717159924319464,26.27623456243451
85,76500.0,23.111851603683455,23.498169006220287,26.414987107014827
86,77400.0,23.121479270751152,23.497367122921652,26.406161324337884
87,78300.0,23.10014965834772,23.33476751229564,26.59009052473908
88,79200.0,23.10533768277819,23.334172118142515,22.79497847661915
