,time,P_net,T_indoor
0,0.0,0.0,17.0
1,900.0,0.00029,16.33842
2,1800.0,0.00029,15.711642679999999
3,2700.0,0.00010999999999999999,15.086633116719998
4,3600.0,0.00010999999999999999,14.496583993350878
5,4500.0,0.0004913664026596487,14.009407082135475
6,5400.0,0.00068623716714581,13.587675046443488
7,6300.0,0.0006749299814226048,13.192047390963156
8,7200.0,0.0008331810436147378,12.852671798829503
9,8100.0,0.001148931280468199,12.596000526567622
10,9000.0,0.0012515997893729515,12.380610464432642
11,9900.0,0.0011577558142269431,12.16987442962959
12,10800.0,0.0012420502281481637,11.996241246933298
13,11700.0,0.0014915035012266807,11.88828477979517
14,12600.0,0.0015346860880819323,11.806361175779339
15,13500.0,0.0013874555296882647,11.715412557037377
16,14400.0,0.0014238349771850494,11.649271875306967
17,15300.0,0.0016302912498772134,11.637733794020745
18,16200.0,0.001634906482391702,11.642231206326297
19,17100.0,0.0014531075174694815,11.628609923979795
20,18000.0,0.0014585560304080823,11.63159195295018
21,18900.0,0.0016373632188199283,11.681664102502058
22,19800.0,0.001617334358999177,11.740869738406815
23,20700.0,0.0014136521046372744,11.77568510927481
24,21600.0,0.0013997259562900759,11.821204266380382
25,22500.0,0.001561518293447847,11.908426162947498
26,23400.0,0.0015266295348210011,12.021771475719692
27,24300.0,0.00161,12.180884387836587
28,25200.0,0.00161,12.368126505996104
29,26100.0,0.0028799999999999997,12.810112686720283
30,27000.0,0.0028799999999999997,13.26562270313115
31,27900.0,0.0017,13.520646858787117
32,28800.0,0.0017,13.79561550328291
33,29700.0,0.00188,14.120773190131896
34,30600.0,0.00188,14.45992282338583
35,31500.0,0.00032603087064566824,14.521144330226301
36,32400.0,0.00030154226790947956,14.600909699259597
37,33300.0,0.000449636120296161,14.727698354746964
38,34200.0,0.0003989206581012142,14.861697548886823
39,35100.0,0.0001653209804452706,14.967673638118178
40,36000.0,0.00012293054475272867,15.079271348820233
41,36900.0,0.00029,15.231820466774503
42,37800.0,0.00029,15.391131525302875
43,38700.0,0.00010999999999999999,15.522260275138942
44,39600.0,0.00010999999999999999,15.65659070248255
45,40500.0,0.00029,15.824023530168352
46,41400.0,0.00029,15.988277647780608
47,42300.0,0.00010999999999999999,16.1146680759827
48,43200.0,0.00010999999999999999,16.234984544487496
49,44100.0,0.00109,16.52347525544107
50,45000.0,0.00109,16.79361259369078
51,45900.0,0.00010999999999999999,16.867409614381007
52,46800.0,0.00010999999999999999,16.92803797211948
53,47700.0,0.00029,17.006164225401985
54,48600.0,0.00029,17.066363071033493
55,49500.0,0.00010999999999999999,17.07489116976595
56,50400.0,0.00010999999999999999,17.064350975956717
57,51300.0,0.00029,17.066062431062708
58,52200.0,0.00029,17.04505875923382
59,53100.0,0.00010999999999999999,16.968192456309065
60,54000.0,0.00010999999999999999,16.868647203318847
61,54900.0,0.00029,16.77820543196618
62,55800.0,0.00029,16.662552382095736
63,56700.0,0.00010999999999999999,16.48908337251933
64,57600.0,0.00010999999999999999,16.29161873738344
65,58500.0,0.00029,16.102548275463803
66,59400.0,0.00029,15.888057454792468
67,60300.0,0.00010999999999999999,15.616183611872016
68,61200.0,0.00010999999999999999,15.321188365725902
69,62100.0,0.00047999999999999996,15.08033370090251
70,63000.0,0.00047999999999999996,14.814053150660996
71,63900.0,0.0018,14.76088510573059
72,64800.0,0.0018,14.673451990866983
73,65700.0,0.00213,14.612749199287101
74,66600.0,0.00213,14.540440736119894
75,67500.0,0.00195,14.424982462258379
76,68400.0,0.00195,14.301127268994493
77,69300.0,0.0033299999999999996,14.418075414620747
78,70200.0,0.0033299999999999996,14.516855945548192
79,71100.0,0.00195,14.350456572052975
80,72000.0,0.00195,14.18007356973854
81,72900.0,0.00213,14.038934185530566
82,73800.0,0.00213,13.894029212996161
83,74700.0,0.00195,13.713821869198338
84,75600.0,0.00195,13.533164063215214
85,76500.0,0.00213,13.385258516307314
86,77400.0,0.00213,13.237072624557177
87,78300.0,0.00195,13.057093283827546
88,79200.0,0.00195,12.880056992771479
89,80100.0,0.00213,12.739194371103991
90,81000.0,0.00213,12.601407430033207
91,81900.0,0.00195,12.43512068825168
92,82800.0,0.00195,12.275011136592102
93,83700.0,0.001529995545363159,12.046159822474234
94,84600.0,0.0016215360710103064,11.844818963422274
95,85500.0,0.0013720724146310908,11.609308325738445
