,time,P_net,P_pv,P_ev,T_indoor
0,0.0,0.0,0.0,0.0,18.0
1,900.0,0.007480412536167233,0.0,0.007110412536167233,17.357279464285714
2,1800.0,0.007535686702155685,0.0,0.007165686702155684,16.745187504384567
3,2700.0,0.007364549020775711,0.0,0.007214549020775711,16.13857436246146
4,3600.0,0.007407600578017908,0.0,0.007257600578017907,15.562751409019977
5,4500.0,0.007884137080594444,0.0,0.0072955127851044325,15.066574373941686
6,5400.0,0.008165533125043901,0.0,0.007328820312014745,14.62609009363221
7,6300.0,0.008194851709757667,0.0,0.007357896756573772,14.211809410370845
8,7200.0,0.008427090096793061,0.0,0.007382994801978486,13.846667776053339
9,8100.0,0.008846624708869053,0.0,0.007399958596895722,13.551233739019553
10,9000.0,0.004653688538627923,0.0,0.0030593054081377003,13.294606422570766
11,9900.0,0.0038551851040914756,0.0,0.002352488315376858,13.048823026792641
12,10800.0,0.0035208950230311603,0.0,0.0018953065364274812,12.83811309694104
13,11700.0,0.003529282685909146,0.0,0.0015783392343796654,12.684295789695465
14,12600.0,0.003374108119757155,0.0,0.0013462560146048875,12.55751553168506
15,13500.0,0.00304017462100656,0.0,0.0011689323868490902,12.430752629256924
16,14400.0,0.0029634795753955114,0.0,0.0010288558900239729,12.329087528450108
17,15300.0,0.003120730517717717,0.0,0.0009152742819427715,12.275107095981102
18,16200.0,0.0030536992563813467,0.0,0.0008212528043718983,12.239648411150807
19,17100.0,0.002772297670792079,0.0,0.000742121876367482,12.196275195953474
20,18000.0,0.002726459553667274,0.0,0.0006745971516440111,12.170677308491952
21,18900.0,0.0029009957690148305,0.0,0.0006163344232608065,12.185908410920641
22,19800.0,0.002842618143592315,0.0,0.0005655723490526358,12.213226740388668
23,20700.0,0.002564364181168267,0.0,0.000520977551362601,12.226659036752455
24,21600.0,0.0025181889617723573,0.0,0.00048151848014858485,12.252146836284247
25,22500.0,0.002946369500932462,0.0,0.0004463695009324621,12.345545204242088
26,23400.0,0.0026637909412305875,0.0002510975786,0.00041488851983058746,12.478084961387394
27,24300.0,0.00366953591312954,0.0004970053782875,0.00038654129141704014,12.791688416115507
28,25200.0,0.0034035264500741854,0.00073736760415,0.00036089405422418575,13.134290048839283
29,26100.0,0.0033665924927539976,0.0009709975000000001,0.0003375899927539975,13.528684256633008
30,27000.0,0.0031195424818469208,0.0011967898918,0.0003163323736469206,13.9469740263353
31,27900.0,0.0008654536472124996,0.0014145463527875002,0.0,14.175575051134771
32,28800.0,0.0006571441744125002,0.0016228558255874997,0.0,14.43251306910105
33,29700.0,0.0005479796312499996,0.00182202036875,0.0,14.725345338999979
34,30600.0,0.00035925871785,0.00201074128215,0.0,15.040766322693283
35,31500.0,-0.0015593433314966415,0.0021889601701499998,0.0,15.180342311679967
36,32400.0,-0.0017964393632399834,0.0023562682074,0.0,15.337380648171969
37,33300.0,-0.001810935682835984,0.0025122453587499995,0.0,15.532922272301585
38,34200.0,-0.0020533596910382924,0.0026568985548875,0.0,15.736313960857814
