,time,P_net,P_ev_mall,P_hvac_mall,T_zone_avg
0,0.0,0.0,0.0,0.0,20.0
1,900.0,0.04898297231224061,0.0,0.045482972312240605,17.389594652800003
2,1800.0,0.03353561854800904,0.0,0.03003561854800904,15.9472131785444
3,2700.0,0.014514837706774869,0.0,0.011014837706774867,15.603174788026145
4,3600.0,0.008946935920007431,0.0,0.005446935920007431,15.333333333333334
5,4500.0,0.022198708296390444,0.0,0.01869870829639044,15.333133205333333
6,5400.0,0.022001283231687267,0.0,0.018501283231687267,15.333333333333334
7,6300.0,0.02172593753230496,0.0,0.01822593753230496,15.333333333333334
8,7200.0,0.02144432063884557,0.0,0.017944320638845566,15.333333333333334
9,8100.0,0.021142394834800134,0.0,0.017642394834800134,15.333333333333334
10,9000.0,0.02081880619279627,0.0,0.01731880619279627,15.333333333333334
11,9900.0,0.02047626256757887,0.0,0.01697626256757887,15.333333333333334
12,10800.0,0.02011611788652018,0.0,0.01661611788652018,15.333333333333334
13,11700.0,0.019739726076992675,0.0,0.016239726076992676,15.333333333333334
14,12600.0,0.01934844106636881,0.0,0.01584844106636881,15.333333333333334
15,13500.0,0.01894497070939331,0.0,0.015444970709393309,15.333333333333334
16,14400.0,0.018530668933438597,0.0,0.0150306689334386,15.333333333333334
17,15300.0,0.01810688966587712,0.0,0.01460688966587712,15.333333333333334
18,16200.0,0.017674986834081176,0.0,0.014174986834081173,15.333333333333334
19,17100.0,0.017239022220168047,0.0,0.013739022220168045,15.333333333333334
20,18000.0,0.016797641896765345,0.0,0.013297641896765345,15.333333333333334
21,18900.0,0.016354907645990194,0.0,0.012854907645990198,15.333333333333334
22,19800.0,0.015912173395215105,0.0,0.012412173395215104,15.333333333333334
23,20700.0,0.01547079307181239,0.0,0.01197079307181239,15.333333333333334
24,21600.0,0.01503482845789921,0.0,0.011534828457899209,15.333333333333334
25,22500.0,0.014602925626103316,0.0,0.011102925626103316,15.333333333333334
26,23400.0,0.014179146358541778,0.0,0.010679146358541778,15.333333333333334
27,24300.0,0.013764844582587076,0.0,0.010264844582587076,15.333333333333334
28,25200.0,0.01336137422561157,0.0,0.00986137422561157,15.333333333333334
29,26100.0,0.038549203689795294,0.0,0.03504920368979529,16.327753333333334
30,27000.0,0.04142387553688735,0.0018499999999999999,0.03607387553688735,17.29426997126895
31,27900.0,0.04226307119832149,0.0036999999999999997,0.03706307119832149,18.23365065369947
32,28800.0,0.050568205641876876,0.00555,0.038018205641876884,19.14659127331475
33,29700.0,0.0736864542158553,0.0073999999999999995,0.0355364542158553,19.728493062650895
34,30600.0,0.07510261378814612,0.00925,0.02960261378814611,20.04371177828258
35,31500.0,0.07087994517881899,0.01,0.024629945178818977,20.11712080270985
36,32400.0,0.07053732332916299,0.01,0.02428732332916299,20.194471359102817
37,33300.0,0.07672576690415404,0.01,0.023975766904154042,20.274964587228123
38,34200.0,0.07644784040068091,0.01,0.023697840400680903,20.357798650781444
39,35100.0,0.07620416098396399,0.01,0.023454160983963995,20.44218585077357
40,36000.0,0.07599507741789893,0.01,0.02324507741789893,20.52736232089094
41,36900.0,0.07582268646967145,0.01,0.023072686469671453,20.61258022703511
42,37800.0,0.07568775800176222,0.01,0.022937758001762214,20.697102798833182
43,38700.0,0.08559012028763932,0.01,0.02284012028763932,20.78023519993479
44,39600.0,0.08553028293561893,0.01,0.022780282935618932,20.8613011412953
45,40500.0,0.0922584470947535,0.01,0.022758447094753515,20.939652325537338
